1	232 603 641 
232	1 603 641 
503	1 603 
603	1 232 641 
641	1 232 603 
700	371 502 519 
959	200 258 602 867 890 
981	118 133 180 205 242 337 449 555 566 598 703 707 838 858 929 934 
2	723 778 815 915 962 
359	
723	2 228 560 613 619 638 768 778 815 915 962 
778	2 313 560 619 638 723 768 815 915 962 
815	2 313 560 638 723 768 778 915 962 
915	2 228 313 560 619 638 723 768 778 815 962 
947	85 159 168 476 573 694 697 738 750 852 931 
962	2 228 313 560 619 638 723 768 778 815 915 
3	271 282 477 
271	3 282 477 
282	3 271 477 
477	3 271 282 
730	301 345 660 665 863 879 907 927 
974	26 426 464 522 549 550 601 678 840 895 902 908 953 965 
4	112 
112	4 
602	4 771 867 
786	538 645 698 714 764 834 882 901 910 930 935 982 
867	4 102 491 602 690 771 807 
893	4 200 771 867 
956	4 6 207 219 602 624 867 
969	43 325 344 784 
5	98 760 821 843 952 
54	28 167 203 233 
98	5 709 760 821 952 
266	94 131 546 
760	5 98 104 450 514 709 821 843 952 
821	5 57 98 104 450 514 709 760 843 952 
843	5 57 450 514 709 760 821 952 
952	5 57 98 104 450 514 709 760 821 843 
6	207 219 
207	6 219 
219	6 207 211 
558	71 978 
758	163 482 696 
7	593 666 672 719 782 
499	66 241 366 543 563 827 
589	160 353 
593	7 666 672 719 782 
666	7 593 672 719 782 
672	7 593 666 719 782 844 
719	7 593 666 672 782 844 
782	7 593 666 672 719 844 
8	106 209 277 384 439 
106	8 209 367 384 
209	8 106 277 367 439 
277	8 209 280 367 384 439 
384	8 106 277 280 367 439 
439	8 209 277 280 367 384 
478	44 416 691 706 809 822 875 
842	636 727 854 943 
9	141 787 857 968 
141	9 187 857 968 
643	73 122 192 224 533 712 746 
787	9 187 430 470 492 857 968 
849	9 15 116 158 495 501 903 
857	9 141 187 430 470 492 540 787 968 
968	9 141 187 240 430 470 492 540 787 842 857 
10	742 869 937 
71	127 152 
400	69 599 766 
660	730 863 879 907 927 
742	10 381 508 631 739 853 869 904 937 
743	170 595 
869	227 381 508 559 631 739 742 853 904 937 
937	10 227 381 559 631 655 739 742 853 869 904 
11	620 674 
475	17 151 245 362 579 
620	11 674 
674	11 620 766 
766	588 731 783 
829	11 579 674 
953	11 26 426 464 522 549 550 601 678 840 895 902 908 965 974 
12	318 
241	74 229 
318	53 
476	168 694 697 738 750 852 931 947 
617	107 134 212 263 597 
658	16 146 648 780 
960	75 147 342 466 469 489 542 548 777 979 
1000	65 164 261 281 357 375 413 532 587 664 781 850 872 941 975 984 988 
13	352 530 791 
352	13 297 472 530 791 
530	13 27 101 297 352 791 
791	13 27 101 297 352 472 530 
796	13 472 530 791 
906	62 117 173 214 250 320 
935	92 172 354 538 645 698 714 764 786 834 882 901 910 930 982 
993	13 27 101 352 530 791 
14	702 837 945 972 977 
469	75 466 489 542 777 960 
702	14 541 570 592 837 945 972 977 
799	191 218 247 358 567 663 896 899 909 916 951 
837	14 49 300 541 570 592 702 831 945 972 977 
945	14 156 300 541 570 592 702 837 926 954 972 977 986 
972	14 156 300 346 541 570 592 702 837 866 889 945 977 986 
977	14 156 300 541 570 592 605 702 831 837 945 972 
15	158 495 501 849 903 
158	15 495 501 849 903 
495	15 158 501 849 903 
501	15 116 158 495 849 903 
537	128 374 956 
685	670 755 793 
903	15 116 158 348 495 501 518 659 849 
16	648 658 780 
520	16 648 
648	16 47 110 658 780 
780	16 47 146 648 658 865 866 
865	16 648 780 
949	225 243 401 434 527 611 811 817 836 856 940 957 967 987 
998	236 251 288 383 405 485 604 757 860 877 918 980 999 
17	151 362 475 654 
151	17 475 579 
362	17 475 654 
546	266 
654	17 245 362 579 674 
978	17 245 362 579 654 
994	108 221 222 319 454 813 861 924 970 
18	314 411 683 770 
314	18 24 39 683 770 839 
411	18 39 291 329 683 770 839 
683	18 24 39 291 303 314 329 411 770 
693	70 557 699 762 881 917 
770	18 24 39 291 314 411 683 839 
845	194 659 676 
19	216 
216	134 
389	416 809 833 871 875 939 
692	45 438 711 741 773 990 
904	227 381 508 559 631 739 742 853 869 886 937 
925	82 135 307 336 377 465 524 736 868 973 
980	236 251 383 405 485 604 757 877 918 998 999 
20	292 
292	576 711 990 
596	33 95 223 279 544 804 825 
682	324 487 
708	201 335 595 824 
910	61 354 538 645 698 714 764 786 834 882 901 930 935 982 
933	154 459 471 523 525 668 725 774 912 958 
985	137 148 317 328 415 427 447 571 684 732 792 846 946 989 
21	144 650 
144	21 650 
420	21 299 
447	21 989 
473	45 438 576 705 990 
650	21 144 989 
920	693 699 762 881 917 
989	21 68 144 182 299 600 650 677 
22	376 
202	
215	55 
257	161 179 208 534 
376	954 
490	76 211 
23	
48	169 868 973 
380	78 256 386 
626	706 759 809 822 833 939 
733	284 379 562 897 
24	314 329 683 770 839 
329	24 303 411 683 839 
839	24 39 291 303 314 329 411 770 
914	498 639 776 800 
950	50 198 217 323 884 
25	
249	25 125 
291	411 683 770 839 
349	25 
363	31 
523	471 525 668 912 933 958 
765	391 667 
909	191 218 226 247 358 567 663 799 896 899 951 
26	902 953 965 974 
260	305 467 656 
424	483 625 
902	26 426 464 522 549 550 601 678 840 895 908 953 965 974 
965	26 267 426 464 522 549 550 601 646 678 840 895 902 908 953 974 
27	297 472 530 791 
297	27 101 352 472 530 791 
453	149 
472	27 101 297 352 791 
808	618 637 788 
28	54 167 203 233 
167	28 54 203 233 
203	28 49 54 167 233 
233	28 54 167 203 
312	33 279 825 
983	514 709 760 821 843 952 
29	83 
83	29 176 398 
351	29 406 
749	174 392 437 564 716 948 
852	85 159 168 278 476 573 694 738 750 931 947 
958	287 459 471 515 523 525 668 725 860 912 933 
990	58 276 292 359 438 473 576 642 692 705 711 726 741 773 
30	
153	851 885 928 964 996 
214	62 117 
483	231 554 625 
569	239 306 372 
705	45 473 711 726 741 773 990 
31	273 769 
273	31 
356	31 
769	103 250 320 652 
883	470 492 857 968 
954	489 548 777 960 
32	506 
210	365 371 502 519 
506	32 343 589 
