-N 1000 -k 15 -maxk 50 -mu 0.3 -om 3 -on 300
P:99.39%	R:47.67%
----------------------------
Node	P	R
1	20.00%	100.00%
624	36.36%	100.00%
662	25.00%	100.00%
869	55.00%	100.00%
896	19.05%	100.00%
942	64.29%	100.00%
977	58.82%	100.00%
994	22.86%	100.00%
2	60.00%	100.00%
347	85.71%	100.00%
403	85.71%	100.00%
453	50.00%	100.00%
748	33.33%	100.00%
788	61.11%	100.00%
943	58.62%	100.00%
956	29.63%	100.00%
3	66.67%	100.00%
510	88.89%	100.00%
778	75.00%	100.00%
806	22.22%	100.00%
844	57.89%	100.00%
972	27.27%	100.00%
4	0.00%	0.00%
297	66.67%	100.00%
816	61.11%	100.00%
830	72.22%	100.00%
919	50.00%	100.00%
941	34.48%	100.00%
987	50.00%	100.00%
5	50.00%	100.00%
428	75.00%	100.00%
429	85.71%	100.00%
590	60.00%	100.00%
646	83.33%	100.00%
831	27.78%	100.00%
907	26.09%	100.00%
958	24.14%	100.00%
6	60.00%	100.00%
595	63.64%	100.00%
689	66.67%	100.00%
722	30.77%	100.00%
776	75.00%	100.00%
785	58.82%	100.00%
908	12.50%	100.00%
931	46.15%	100.00%
7	100.00%	100.00%
385	71.43%	100.00%
438	85.71%	100.00%
470	77.78%	100.00%
860	63.16%	100.00%
912	16.00%	100.00%
917	50.00%	100.00%
985	41.67%	100.00%
8	83.33%	100.00%
264	83.33%	100.00%
325	14.29%	100.00%
613	50.00%	100.00%
660	75.00%	100.00%
766	66.67%	100.00%
791	66.67%	100.00%
999	41.46%	100.00%
9	33.33%	100.00%
88	33.33%	100.00%
120	83.33%	100.00%
285	50.00%	100.00%
693	25.00%	100.00%
704	30.77%	100.00%
777	62.50%	100.00%
845	27.78%	100.00%
10	40.00%	100.00%
186	33.33%	100.00%
244	28.57%	100.00%
525	44.44%	80.00%
556	20.00%	100.00%
725	23.08%	100.00%
899	69.57%	94.12%
996	13.89%	100.00%
11	80.00%	100.00%
567	80.00%	100.00%
614	80.00%	100.00%
720	83.33%	100.00%
752	33.33%	100.00%
911	72.73%	94.12%
12	60.00%	100.00%
95	20.00%	100.00%
504	66.67%	100.00%
837	55.56%	100.00%
839	44.44%	100.00%
967	50.00%	100.00%
13	0.00%	0.00%
171	20.00%	100.00%
464	12.50%	100.00%
636	80.00%	100.00%
789	61.11%	100.00%
955	63.33%	100.00%
963	56.67%	100.00%
14	20.00%	100.00%
48	16.67%	50.00%
762	33.33%	100.00%
817	27.78%	100.00%
833	52.63%	100.00%
897	27.27%	100.00%
15	83.33%	100.00%
30	100.00%	100.00%
67	50.00%	100.00%
864	60.00%	100.00%
924	28.00%	100.00%
16	75.00%	100.00%
28	50.00%	100.00%
221	66.67%	100.00%
626	88.89%	100.00%
709	69.23%	100.00%
783	60.00%	100.00%
858	60.00%	100.00%
17	66.67%	100.00%
37	66.67%	100.00%
426	62.50%	100.00%
461	62.50%	100.00%
538	33.33%	100.00%
761	40.00%	100.00%
805	33.33%	100.00%
18	33.33%	100.00%
577	44.44%	100.00%
599	50.00%	100.00%
643	54.55%	100.00%
708	53.85%	100.00%
802	58.82%	100.00%
826	50.00%	100.00%
954	41.94%	100.00%
19	16.67%	100.00%
290	57.14%	100.00%
522	50.00%	100.00%
530	66.67%	100.00%
790	76.47%	100.00%
904	50.00%	100.00%
935	53.57%	100.00%
20	33.33%	100.00%
432	37.50%	100.00%
488	33.33%	100.00%
608	20.00%	100.00%
696	33.33%	100.00%
838	33.33%	100.00%
930	29.17%	100.00%
21	66.67%	100.00%
268	14.29%	100.00%
446	0.00%	0
491	88.89%	100.00%
587	66.67%	100.00%
22	66.67%	100.00%
544	55.56%	100.00%
694	30.77%	100.00%
737	57.14%	100.00%
856	70.00%	100.00%
982	61.76%	100.00%
984	62.86%	100.00%
23	60.00%	100.00%
213	0.00%	0
480	62.50%	100.00%
918	58.33%	100.00%
24	66.67%	100.00%
281	71.43%	100.00%
600	72.73%	100.00%
695	72.73%	100.00%
807	27.78%	100.00%
828	66.67%	100.00%
862	42.86%	100.00%
25	66.67%	100.00%
49	60.00%	100.00%
135	50.00%	100.00%
182	66.67%	100.00%
313	62.50%	100.00%
874	27.27%	100.00%
991	33.33%	100.00%
26	40.00%	100.00%
731	50.00%	100.00%
736	21.43%	100.00%
969	43.75%	100.00%
981	65.62%	100.00%
27	60.00%	100.00%
110	75.00%	100.00%
252	83.33%	100.00%
396	50.00%	100.00%
434	42.86%	100.00%
531	75.00%	100.00%
64	0.00%	0.00%
195	66.67%	100.00%
217	71.43%	100.00%
366	75.00%	100.00%
711	53.85%	100.00%
983	38.89%	100.00%
29	80.00%	100.00%
277	83.33%	100.00%
357	57.14%	100.00%
887	63.64%	100.00%
895	52.38%	100.00%
937	53.85%	100.00%
976	23.53%	100.00%
392	62.50%	100.00%
487	66.67%	100.00%
687	30.77%	100.00%
31	60.00%	100.00%
610	9.09%	100.00%
665	27.27%	100.00%
829	22.22%	100.00%
32	100.00%	100.00%
402	85.71%	100.00%
422	85.71%	100.00%
430	50.00%	100.00%
569	88.89%	100.00%
808	64.71%	100.00%
